FOLIO_INT,Calorias_semana,Proteina_semana,CarboHidratos_semana,Lipidos_semana
2022_01001001_01,9722.7,1256.06,378.176,355.075
2022_01001028_04,9664.9,1076.91,495.516,438.595
2022_01001034_03,11071.5,1538.52,556.298,354.66
2022_01001041_04,7189.2,1000.6,279.61,200.75
2022_01001042_01,10456.1,1500.03,405.74,397.285
2022_01001042_04,6670.2,663.29,150.72,172.44
2022_01001052_01,5810.3,692.53,276.096,205.94
2022_01001074_05,10062.1,1527.7,309.808,321.99
2022_01001075_02,8791.6,1021.2900000000001,351.846,475.275
2022_01001081_02,16062.5,2229.23,806.762,637.71
2022_01001088_01,6825.1,953.13,217.01,227.77
2022_01001124_01,8103.2,946.18,342.348,294.57
2022_01001151_03,3921.3,515.64,149.498,162.25
2022_01001155_01,10443.0,1290.77,440.605,408.88
2022_01001194_01,2736.4,363.16,782.89,274.33
2022_01001206_01,10783.7,1478.59,475.77,359.39
2022_01002008_05,5738.1,905.55,175.29,139.04999999999998
2022_01002010_03,10117.1,1523.72,348.24,335.75
2022_01002011_01,6891.0,1040.67,431.936,286.06
2022_01002012_02,11011.4,1563.74,448.73,385.16
2022_01002021_02,3122.1,410.09000000000003,118.318,102.32
2022_01005004_03,7585.8,841.74,366.7,328.08
2022_01005004_05,9837.1,1284.1599999999999,398.848,303.7
2022_01005005_01,6023.0,1172.93,295.86,158.0
2022_01005007_05,10955.9,1234.16,540.4,484.15500000000003
2022_01005019_01,10281.5,1656.48,463.41999999999996,325.99
2022_01006001_04,9505.0,1230.92,325.94,248.9
2022_01006010_03,10359.4,1328.02,359.326,305.48
2022_01009014_02,1562.5,254.51,36.230000000000004,57.4
2022_01009019_01,9838.8,1388.45,382.246,399.79
2022_01009030_01,5842.6,727.32,227.888,259.925
2022_02001003_04,2809.2,328.61,117.57,115.17
2022_02001039_02,6489.6,692.21,290.34000000000003,293.07
2022_02001046_02,6220.6,812.1,238.55599999999998,230.71
2022_02001048_02,5094.4,527.52,269.152,262.53000000000003
2022_02001049_03,11008.8,1426.95,427.144,475.03000000000003
2022_02001059_01,5582.8,635.5799999999999,280.40999999999997,246.56
2022_02002008_01,4690.0,552.87,173.1,247.06
2022_02002039_03,5744.3,720.95,199.32,293.73
2022_02002039_04,9459.0,1088.04,397.73,446.28000000000003
2022_02002042_01,8951.9,963.5500000000001,373.718,311.55
2022_02002049_01,7888.9,967.93,290.15999999999997,373.665
2022_02002056_02,6922.0,909.86,250.93,281.89
2022_02002080_03,15914.2,1699.76,729.42,802.68
2022_02002084_04,10154.6,1140.97,413.44,451.3
2022_02002088_01,8672.1,1308.21,362.678,248.04
2022_02002088_02,14642.3,2133.24,736.14,615.51
2022_02002100_02,2799.1,306.45,137.71,115.23
2022_02002105_01,9042.5,1045.67,372.78000000000003,423.66
2022_02002161_02,12050.2,1809.8600000000001,490.772,405.74
2022_02002163_02,18343.6,2452.46,563.4119999999999,754.3
2022_02002164_03,9494.2,1265.32,323.17,353.55
2022_02003013_01,2966.5,620.97,57.1,115.42
2022_02003016_01,5650.6,732.99,203.79,258.14
2022_02003019_01,7286.5,984.43,308.718,260.63
2022_02003045_01,8321.3,1012.47,359.42,324.38
2022_02003046_01,5253.4,546.66,306.67,300.77
2022_02003052_03,8290.7,1037.7,370.3,348.97
2022_02004003_03,4958.5,723.69,224.05,162.82
2022_02004022_01,7111.4,737.21,267.92199999999997,277.545
2022_02004035_03,9225.2,753.0,429.686,581.67
2022_02004082_01,5817.6,623.55,278.098,268.35
2022_02004100_04,3359.2,338.76,176.274,99.47
2022_03003005_01,7277.4,965.91,307.23,279.1
2022_03003014_04,9122.9,1072.41,402.18,430.84999999999997
2022_03003036_02,12428.9,1503.26,500.37,608.04
2022_03003039_03,6783.9,916.87,234.36599999999999,286.07
2022_03003042_06,11803.8,1394.87,423.132,568.83
2022_03003045_02,7073.0,795.16,327.94,338.76
2022_03003081_01,8945.8,1054.75,348.202,371.09000000000003
2022_03003082_01,7680.7,908.05,531.64,396.56
2022_03003087_01,6981.0,776.9100000000001,249.51000000000002,367.98
2022_03003098_01,5301.1,592.9499999999999,213.868,247.59
2022_03003100_02,4448.4,637.15,190.44,172.10999999999999
2022_03003104_01,3875.2,225.73999999999998,165.71,293.99
2022_03003107_02,5596.2,842.47,210.88,171.20000000000002
2022_03003107_03,16027.9,2300.58,608.795,617.24
2022_03003112_01,4446.3,868.09,411.558,160.53
2022_03003151_07,7004.7,688.0699999999999,316.72999999999996,319.11
2022_03008054_04,7803.8,967.9399999999999,348.03,268.21
2022_03008091_03,10129.8,1061.74,426.32,513.25
2022_04001035_01,7169.1,1053.08,238.778,300.78
2022_04001039_04,3202.9,535.4300000000001,117.02799999999999,78.2
2022_04001044_05,8957.9,1191.19,534.99,318.99
2022_04002033_02,2731.9,403.79,93.54599999999999,99.625
2022_04002078_04,4796.5,723.61,200.13,163.32
2022_04002113_02,5788.6,595.63,318.786,365.18
2022_04002113_03,9533.7,1390.73,791.976,368.925
2022_04002117_02,14366.3,1964.31,619.9,449.245
2022_04002120_01,3104.7,520.6800000000001,131.54,91.16
2022_04002132_02,7232.8,779.1999999999999,339.784,249.35
2022_04002141_05,6224.4,975.69,212.65,132.9
2022_04002143_02,8478.7,1052.56,462.36600000000004,365.38
2022_04002160_02,9109.0,1176.6,443.02,346.44
2022_04002162_01,6045.5,992.4499999999999,196.1,215.20000000000002
2022_04002185_03,18590.2,3206.24,951.058,546.235
2022_04002186_04,6062.7,961.08,225.1,202.43
2022_04002190_01,7512.0,983.48,304.29,319.62
2022_04002192_02,7679.9,1200.73,209.12,316.7
2022_04004010_02,3230.0,384.14,116.648,143.59
2022_04004012_01,22288.7,3220.99,861.9200000000001,755.49
2022_04004018_01,1780.0,164.94,67.66799999999999,147.84
2022_04008007_03,6500.0,1045.98,364.91,248.32
2022_04008009_02,7649.4,1217.1200000000001,275.8,243.75
2022_04008017_01,6802.0,785.6,287.92199999999997,298.98
2022_04008033_02,4001.0,477.76,187.51999999999998,184.99
2022_04008036_01,23795.6,2972.81,1226.402,1092.77
2022_05002005_04,10905.7,1217.46,502.25,456.96000000000004
2022_05002020_02,10237.0,1668.7,302.962,276.43
2022_05017003_03,11015.6,1330.4,480.94,416.605
2022_05017027_02,13662.0,2209.78,409.888,326.365
2022_05024003_02,7812.0,895.04,340.7,352.01
2022_05027004_01,7038.1,1103.38,239.978,213.315
2022_05027009_03,13128.0,1791.66,427.408,500.5
2022_05027019_01,6900.1,937.62,337.978,255.345
2022_05027029_02,8423.8,1166.04,378.17,293.71
2022_05030008_01,9622.1,1016.09,482.596,453.685
2022_05030027_02,10363.2,1999.45,152.07,227.51
2022_05030050_03,12107.4,1274.12,614.61,546.325
2022_05030064_01,9328.6,988.7,440.64,458.18
2022_05030077_03,15178.0,2416.83,512.106,474.87
2022_05030081_01,12409.1,1568.37,523.104,502.455
2022_05035008_02,8101.2,1031.33,301.996,351.145
2022_05038008_01,3969.0,431.67,178.258,163.82
2022_05038025_01,7676.9,812.44,374.734,264.7
2022_06002036_01,8639.2,1254.53,397.81,452.40999999999997
2022_06002050_01,9208.2,1154.82,396.236,320.86
2022_06002069_01,9967.9,1539.99,573.256,441.25
2022_06003025_02,4823.2,603.6800000000001,161.436,254.09
2022_06003034_01,11407.2,1451.3899999999999,432.174,475.99
2022_06003059_02,3911.8,462.03000000000003,168.374,191.89000000000001
2022_06007009_01,5941.2,1021.96,237.93,214.36
2022_06007024_01,11121.1,1445.08,511.784,418.425
2022_06007033_01,16467.8,2002.81,684.452,715.13
2022_06007034_01,4572.5,609.09,184.57999999999998,152.01
2022_06007035_02,5495.5,667.31,222.624,247.7
2022_06009035_01,5025.9,630.84,180.894,279.2
2022_06009057_01,5937.8,956.94,134.846,199.84
2022_06010015_01,10553.7,1369.92,475.358,481.38
2022_06010057_01,4356.5,568.94,163.65,182.21
2022_06010061_01,2621.4,396.24,139.968,88.98
2022_07008001_03,982.0,134.23000000000002,30.939999999999998,45.45
2022_07008010_02,4935.4,547.13,203.63,227.62
2022_07008011_02,9345.2,1350.08,168.88,537.37
2022_07008013_04,3601.9,434.42,214.06,183.88
2022_07008021_01,5825.8,827.81,194.01999999999998,210.68
2022_07008034_01,6763.6,1012.57,257.52,311.28000000000003
2022_07008040_03,9354.4,1183.69,340.62,396.41
2022_07020011_01,6022.0,675.17,209.14,359.97999999999996
2022_07039033_02,6450.5,678.67,351.89,290.23
2022_07052022_03,2718.5,302.39,149.768,124.50999999999999
2022_07052023_01,4370.0,586.68,99.218,263.01
2022_07052027_01,5704.6,735.8,206.33,249.39
2022_07057002_01,5902.2,816.85,200.20999999999998,213.78
2022_07057011_02,8237.0,1188.03,449.038,305.3
2022_07057012_02,7258.6,1020.59,274.99,291.01
2022_07057021_01,6239.6,832.02,306.316,286.88
2022_07057022_01,8163.6,1037.17,351.17,345.4
2022_07057025_01,6900.4,984.69,243.798,286.03000000000003
2022_07058001_01,3383.0,521.88,147.00799999999998,155.52
2022_07058003_02,6367.1,730.2900000000001,247.518,302.85
2022_07058011_02,4111.2,451.51,167.154,228.31
2022_07058012_02,1542.5,215.59,48.168,81.62
2022_07087007_02,4495.5,554.83,170.838,176.60999999999999
2022_07087008_04,11350.4,1537.79,407.32,415.28
2022_07087011_01,3994.6,839.89,38.058,57.34
2022_07087016_01,7583.4,1239.45,188.45,217.07000000000002
2022_07087019_01,8232.7,880.98,388.392,383.04
2022_07089015_03,9927.5,1357.15,364.348,417.73
2022_07089018_02,3347.5,438.72,138.058,145.47
2022_07089022_02,7262.3,1130.69,275.08,257.23
2022_07101025_02,11092.5,1458.84,464.64599999999996,442.24
2022_07101032_02,4443.1,435.93,323.818,244.4
2022_07108005_02,3924.4,442.97,162.656,161.82
2022_08002005_01,9525.8,1249.54,391.30199999999996,371.85
2022_08011008_02,8231.0,1302.58,288.94,260.43
2022_08011018_02,8240.0,1212.08,326.53,283.07
2022_08011033_01,7170.6,739.4399999999999,375.718,299.12
2022_08019028_01,15914.9,1508.85,751.422,631.265
2022_08019034_03,7137.7,812.54,306.4,298.78000000000003
2022_08019046_01,14805.6,1774.07,812.896,647.0
2022_08019069_01,7544.6,909.37,348.75,230.45
2022_08019080_01,11586.7,1331.58,440.72,572.23
2022_08019083_02,12235.8,1321.66,682.39,347.21
2022_08019090_01,7313.5,632.31,388.19,319.69
2022_08019099_02,5833.2,693.9,270.25,280.01
2022_08021001_03,6865.5,690.24,302.794,295.83
2022_08021025_03,11054.9,1378.81,482.258,419.1
2022_08021046_01,3049.2,491.45,69.858,127.37
2022_08021047_01,5204.5,606.8199999999999,248.917,294.32
2022_08037007_01,2438.1,256.85,152.358,135.29
2022_08037048_01,11510.3,1386.1,521.3100000000001,494.865
2022_08037059_02,31573.3,5103.92,815.4,1343.5400000000002
2022_08037061_04,22275.3,2649.78,872.428,876.29
2022_08037077_01,8163.7,1120.3600000000001,334.204,344.28
2022_08037110_01,6058.5,811.46,266.136,230.34
2022_08037132_01,9543.0,1153.33,338.82,421.19
2022_08037136_01,8203.1,964.82,341.618,319.31
2022_08037137_01,8587.2,1245.74,245.623,329.37
2022_08037142_03,10274.1,1367.57,347.56,454.57
2022_08037147_02,7831.2,1293.3700000000001,214.57999999999998,179.39000000000001
2022_08037170_02,8876.5,1159.36,345.138,330.54
2022_08037176_03,7629.0,1016.3,268.81,292.08
2022_08050007_01,12101.4,1769.15,334.72,411.16999999999996
2022_08064007_01,13338.3,1635.68,466.282,498.1
2022_09003009_01,7617.0,753.82,350.784,346.82
2022_09003015_01,7915.0,1290.44,227.92,264.55
2022_09005027_03,18022.6,2372.69,737.38,751.91
2022_09005036_02,5214.5,662.03,189.77,229.43
2022_09005065_04,11220.7,1133.6299999999999,436.316,680.39
2022_09005070_01,8398.8,848.4399999999999,372.40999999999997,358.24
2022_09005084_02,9005.8,1080.78,348.89,367.17
2022_09006004_01,6559.0,859.51,262.26,271.51
2022_09006008_04,5770.6,720.32,219.78,247.98
2022_09006034_01,5140.3,742.63,188.168,192.54500000000002
2022_09007016_02,13182.2,1467.75,591.316,541.14
2022_09007018_01,10193.6,1457.28,479.46,375.2
2022_09007028_01,6983.9,1079.6,202.04999999999998,262.22
2022_09007059_02,9508.2,1264.62,413.336,415.19
2022_09007069_02,5747.0,906.6500000000001,202.578,248.69
2022_09007098_03,5909.8,675.41,283.276,250.97
2022_09007106_02,6250.6,858.9599999999999,226.75,242.01
2022_09007126_03,8509.0,1166.03,286.674,346.08
2022_09007139_01,7967.0,978.08,315.372,324.27
2022_09007139_03,8245.5,1210.98,273.09000000000003,258.69
2022_09007139_04,17967.1,1991.53,770.586,770.09
2022_09007149_02,9960.5,1311.8999999999999,321.478,330.05
2022_09007160_03,17585.1,2218.9900000000002,677.616,745.13
2022_09007176_01,19355.3,2391.8,763.616,759.95
2022_09007193_03,18871.0,2985.4,607.014,600.9
2022_09007230_02,17346.0,1756.5800000000002,902.25,832.115
2022_09007238_01,8546.0,872.9,411.08,381.09
2022_09010025_03,9104.4,1313.0,290.24,318.9
2022_09010032_02,5370.9,844.0600000000001,143.44,197.27
2022_09010035_02,9525.7,1404.14,321.77,326.27
2022_09012016_01,7436.8,1042.8,276.96999999999997,325.57
2022_09013002_01,7692.1,1033.81,260.916,337.93
2022_09015022_02,5257.8,722.65,183.18,203.05
2022_09016030_03,3894.2,753.5600000000001,68.218,54.78
2022_09017007_04,11082.1,996.74,502.646,624.29
2022_09017020_02,5139.8,768.2,165.76,182.97
2022_09017028_03,7345.7,850.9200000000001,347.276,344.88
2022_09017037_06,6511.1,791.71,292.01,294.22
2022_10005002_01,12172.7,1616.95,462.296,525.015
2022_10005004_04,9319.5,1257.97,333.86400000000003,432.47
2022_10005019_01,8223.7,1427.14,303.46999999999997,216.44
2022_10005029_02,6171.2,755.17,310.65,248.89499999999998
2022_10005044_01,8253.6,1243.86,329.748,225.87
2022_10005054_02,6258.9,802.1,296.875,294.48
2022_10007016_02,16737.0,1827.58,768.6899999999999,674.07
2022_10007016_04,15498.4,2259.61,521.116,459.99
2022_10007024_01,7367.7,944.62,271.727,282.5
2022_10007024_02,6094.5,939.79,276.90999999999997,272.6
2022_10007024_03,9219.6,1401.0,442.57,359.17
2022_10007046_03,5162.1,665.3000000000001,271.26,182.76
2022_10007057_01,9113.9,1319.02,299.408,312.17
2022_10007060_02,3990.5,571.82,129.27,160.87
2022_10008014_03,8373.3,1315.77,368.582,242.22
2022_10008016_05,4089.5,578.47,190.54000000000002,116.96000000000001
2022_10008025_01,7933.0,934.3199999999999,321.13599999999997,323.085
2022_10012041_02,10406.4,1314.14,471.75,341.53
2022_10012062_02,11265.6,1756.1299999999999,360.65,382.94
2022_10028019_03,9182.4,1274.31,357.99,229.51
2022_10028020_01,3632.0,509.96999999999997,138.78,127.79
2022_11001006_01,7819.8,1063.16,309.046,329.16
2022_11001013_02,5934.1,865.6,231.368,170.23
2022_11001013_06,3501.1,467.97,137.38,100.84
2022_11001017_01,1784.8,203.99,70.17,98.86
2022_11001028_02,5500.4,704.32,221.82,173.14
2022_11003014_04,4127.3,514.42,165.42,158.62
2022_11003021_03,5549.1,809.47,239.24,172.21
2022_11003044_03,7608.2,1077.27,259.238,331.09000000000003
2022_11003048_02,5053.05,701.57,179.438,161.095
2022_11003051_03,7002.0,921.36,301.378,253.83
2022_11003058_01,11771.9,1879.3400000000001,366.286,337.49
2022_11003069_01,10398.8,1463.72,399.016,329.77
2022_11005001_01,15390.800000000001,2419.28,426.446,457.08
2022_11005002_02,8462.7,1273.68,300.81,306.90999999999997
2022_11005005_02,5631.3,920.37,157.676,180.55
2022_11005011_01,13114.8,2034.6,377.224,432.98
2022_11005033_01,7226.1,1089.6000000000001,252.92,208.45
2022_11005034_04,10877.5,1592.7,328.406,405.02
2022_11007032_02,5668.5,972.01,137.26,156.07
2022_11007042_01,6231.4,682.19,274.92,264.68
2022_11007044_04,6085.6,874.56,198.87,217.83
2022_11007065_01,12397.7,1701.04,393.3,511.91
2022_11007079_01,12215.7,1488.3,542.64,434.55
2022_11007091_02,1450.9,178.85999999999999,63.1,61.96
2022_11009011_02,4361.0,592.54,152.64,152.18
2022_11009015_01,1564.4,226.70999999999998,43.93,81.92
2022_11009025_03,5313.6,747.03,185.62,209.91
2022_11009027_02,11159.7,1755.13,402.01,390.78
2022_11009029_02,13013.3,1826.2,491.4,536.68
2022_11014013_03,8919.6,1368.76,245.19,341.77
2022_11014017_03,7115.6,892.7,274.908,285.19
2022_11014023_03,5893.1,894.73,190.024,228.10999999999999
2022_11014030_03,16993.5,2817.7400000000002,524.366,490.99
2022_11014051_02,3675.1,487.89,139.5,152.4
2022_11014061_02,2607.8,339.26,112.58,119.95
2022_11014065_01,4198.65,595.71,156.16,133.96
2022_11015001_03,8230.5,1069.64,283.72,352.77
2022_11015015_02,8789.1,1167.8600000000001,333.68399999999997,450.02
2022_11015018_03,10469.2,1319.85,449.54999999999995,478.86
2022_11016006_02,7223.9,974.65,304.26800000000003,266.08
2022_11017029_01,8786.4,1006.22,358.074,326.19
2022_11017045_02,10283.1,1553.56,310.36,363.18
2022_11017058_01,8726.2,984.77,295.516,348.2
2022_11017063_01,10394.5,1640.76,395.05,391.505
2022_11017072_02,8182.3,1199.36,272.034,285.98
2022_11017084_01,6392.1,1068.21,209.658,219.68
2022_11017088_01,11598.4,1430.98,481.03000000000003,438.92
2022_11017088_05,12274.2,1638.97,481.96,450.59
2022_11018004_02,5007.6,688.04,198.588,208.91
2022_11018005_03,13320.4,1686.24,205.09799999999998,213.1
2022_11018013_01,5466.5,821.84,161.97,191.93
2022_11018027_01,5646.3,760.16,200.04,217.35000000000002
2022_11020025_01,9256.7,1169.61,369.486,316.96
2022_11020038_01,8705.3,1166.07,310.35,296.40500000000003
2022_11020044_02,10710.0,1489.65,381.54200000000003,413.69
2022_11020065_06,8093.0,1236.52,283.03999999999996,191.96
2022_11020083_02,3195.5,447.2,96.34,134.07
2022_11020102_02,6667.0,928.13,227.57999999999998,297.09000000000003
2022_11020103_03,8398.4,1315.8600000000001,278.99,191.92
2022_11020119_02,9473.5,1215.81,446.64599999999996,486.28000000000003
2022_11020122_03,10051.0,1491.1100000000001,405.67199999999997,371.04
2022_11020159_01,12523.4,1917.14,565.558,405.39
2022_11020180_01,9031.9,1033.97,372.038,357.2
2022_11020180_03,5842.3,799.74,207.866,189.03
2022_11020188_01,10066.6,1102.73,477.376,425.025
2022_11020192_01,11495.6,1508.93,333.254,352.4
2022_11020203_03,5368.55,674.91,207.798,214.36
2022_11020222_01,5708.2,674.78,235.25,190.52
2022_11020237_04,9812.4,1248.13,402.146,338.3
2022_11020239_01,8769.0,1203.37,378.39599999999996,293.93
2022_11020241_04,10600.2,1203.35,421.58,477.29
2022_11020261_02,12585.6,1686.45,427.94,510.265
2022_11020274_01,8733.4,1324.43,226.48,310.53
2022_11020327_02,4139.0,532.74,162.23,165.34
2022_11020336_04,4653.0,513.3399999999999,181.59,195.03
2022_11020340_02,4079.0,703.6899999999999,263.64,112.98
2022_11020341_01,5013.6,839.06,181.56,224.08
2022_11020345_01,6592.7,1120.53,175.97,201.87
2022_11020355_01,6678.9,766.35,271.046,274.12
2022_11020355_03,3966.6,456.28000000000003,134.18,224.76
2022_11023006_02,6663.1,951.81,240.36599999999999,294.63
2022_11023011_02,6719.4,945.13,254.52,263.46
2022_11023019_04,8862.35,1124.17,328.574,289.87
2022_11023029_02,6524.45,646.25,361.086,339.81
2022_11023035_01,4884.4,889.89,209.59,142.65
2022_11023040_01,5638.6,723.0500000000001,187.928,243.4
2022_11023040_02,5605.3,730.34,202.41,225.35
2022_11023046_02,7929.6,922.68,389.33799999999997,336.33
2022_11027034_01,2553.6,412.1,51.57,92.75
2022_11027079_02,1521.7,198.39000000000001,112.258,44.34
2022_11030021_01,3201.8,396.35,102.89,192.28
2022_11030054_01,6561.3,891.74,250.41,257.53000000000003
2022_11032001_03,5078.4,813.12,142.24,171.18
2022_11032002_01,3097.6,495.09,225.376,121.18
2022_11032010_01,4004.0,574.01,143.90999999999997,101.8
2022_11032013_04,7651.95,968.11,354.596,283.585
2022_11032034_01,6633.8,1046.92,280.54,227.63
2022_11037003_01,5890.0,899.64,206.396,245.68
2022_11037034_01,8029.8,1069.64,343.286,251.75
2022_11037043_01,7199.7,1279.8,329.36,173.67000000000002
2022_11037043_03,14860.1,2142.57,546.35,388.88
2022_11037047_02,3960.9,605.7,135.956,163.1
2022_11037047_06,13525.5,2000.38,434.55,456.65
2022_11037059_02,3388.3,480.17,95.768,166.55
2022_11037059_03,6594.4,847.5,252.17,232.73000000000002
2022_11037060_04,8864.0,1036.38,410.28000000000003,265.62
2022_11037061_01,9634.3,1411.79,372.378,311.8
2022_11041010_03,7450.1,1147.18,230.98,225.41
2022_11041010_04,13459.9,1979.02,437.83,446.66
2022_11041023_03,10446.8,1137.02,443.348,479.79
2022_11041032_01,10391.5,1461.3799999999999,451.692,326.565
2022_11042013_02,9507.6,1236.71,395.414,316.55
2022_11042026_02,6903.9,908.91,288.806,260.7
2022_11042029_02,11685.9,1705.73,339.491,524.4
2022_11044001_02,5501.6,1041.68,321.67,141.59
2022_11044006_01,5214.6,740.61,207.512,185.49
2022_12001078_02,8194.6,1523.3500000000001,215.738,135.35
2022_12001079_01,13812.3,1535.37,635.01,569.26
2022_12001079_02,11345.7,1343.78,451.072,484.32
2022_12001085_01,4011.6,514.84,221.44,153.61
2022_12001091_02,5177.0,589.48,236.18,246.88
2022_12001097_01,11939.85,1261.55,582.144,680.65
2022_12001103_01,7916.6,980.7,382.87,405.38
2022_12001106_01,10654.3,1816.22,489.76,368.14
2022_12001125_02,6952.7,668.96,296.0,412.81
2022_12001130_04,7029.0,836.87,251.94,323.53000000000003
2022_12007016_01,6195.2,803.27,228.296,238.0
2022_12029022_02,3356.2,628.64,93.34,84.57000000000001
2022_12051001_03,9200.5,1632.96,290.39,233.06
2022_12051011_01,5413.4,950.6600000000001,303.29,115.14
2022_12051014_01,6415.6,729.84,418.82599999999996,285.29
2022_12051025_01,5564.35,920.02,159.898,161.09
2022_12051027_01,7272.2,819.99,315.198,310.36
2022_12061015_02,12898.0,1535.06,632.464,599.15
2022_12061015_04,18106.3,2378.14,828.6899999999999,734.695
2022_12061018_01,3204.0,434.15000000000003,135.01,129.53
2022_12061022_02,7043.4,1093.3,305.086,236.68
2022_12061031_01,5695.8,793.73,187.084,208.86
2022_12061033_04,18320.0,2304.02,724.298,701.8
2022_12064008_01,2556.1,297.51,89.86,119.49000000000001
2022_13027007_02,9447.0,1355.61,299.08,394.41
2022_13027015_05,5588.0,797.07,368.318,207.03
2022_13027021_01,3680.8,491.3,179.49,125.45
2022_13027021_02,3998.25,519.38,194.578,165.47
2022_13027024_02,8486.2,1138.18,373.208,300.88
2022_13027035_02,5604.5,746.97,406.768,210.98
2022_13041008_01,5539.0,714.72,206.00199999999998,236.01000000000002
2022_13041022_01,7719.7,1143.79,351.09,316.5
2022_13041028_02,9067.7,1578.56,198.66799999999998,232.435
2022_13041031_04,5989.9,844.89,206.88,204.29
2022_13041033_01,12713.5,1508.65,544.98,576.97
2022_13041035_01,5081.0,697.3,136.02,249.60000000000002
2022_13041038_03,8178.1,1013.58,356.71,353.77
2022_13041039_04,8065.8,1222.94,436.13,317.17
